sec_cde	sec_name	list_date	mkt_sort
2082	万邦德	2006/11/20	s
2083	孚日股份	2006/11/24	s
2084	海鸥住工	2006/11/24	s
2085	万丰奥威	2006/11/28	s
2086	*ST东洋	2006/11/28	s
2087	新野纺织	2006/11/30	s
2088	鲁阳节能	2006/11/30	s
2089	ST新海	2006/11/30	s
2090	金智科技	2006/12/8	s
2091	江苏国泰	2006/12/8	s
2092	中泰化学	2006/12/8	s
2093	国脉科技	2006/12/15	s
2094	青岛金王	2006/12/15	s
2095	生 意 宝	2006/12/15	s
2096	南岭民爆	2006/12/22	s
2097	山河智能	2006/12/22	s
2098	浔兴股份	2006/12/22	s
2099	海翔药业	2006/12/26	s
2100	天康生物	2006/12/26	s
2101	广东鸿图	2006/12/29	s
2102	ST冠福	2006/12/29	s
2103	广博股份	2007/1/10	s
2104	恒宝股份	2007/1/10	s
2105	信隆健康	2007/1/12	s
2106	莱宝高科	2007/1/12	s
2107	沃华医药	2007/1/24	s
2108	沧州明珠	2007/1/24	s
2109	兴化股份	2007/1/26	s
2110	三钢闽光	2007/1/26	s
2111	威海广泰	2007/1/26	s
2112	三变科技	2007/2/8	s
2113	*ST天润	2007/2/8	s
2114	罗平锌电	2007/2/15	s
2115	三维通信	2007/2/15	s
2116	中国海诚	2007/2/15	s
2117	东港股份	2007/3/2	s
2118	紫鑫药业	2007/3/2	s
2119	康强电子	2007/3/2	s
2120	韵达股份	2007/3/6	s
2121	科陆电子	2007/3/6	s
2122	*ST天马	2007/3/28	s
2123	梦网科技	2007/3/28	s
2124	天邦股份	2007/4/3	s
2125	湘潭电化	2007/4/3	s
2126	银轮股份	2007/4/18	s
2127	南极电商	2007/4/18	s
2128	露天煤业	2007/4/18	s
2129	中环股份	2007/4/20	s
2130	沃尔核材	2007/4/20	s
2131	利欧股份	2007/4/27	s
2132	恒星科技	2007/4/27	s
2133	广宇集团	2007/4/27	s
2134	天津普林	2007/5/16	s
2135	东南网架	2007/5/30	s
2136	安 纳 达	2007/5/30	s
2137	实益达	2007/6/13	s
2138	顺络电子	2007/6/13	s
2139	拓邦股份	2007/6/29	s
2140	东华科技	2007/7/12	s
2141	贤丰控股	2007/7/20	s
2142	宁波银行	2007/7/19	s
2144	宏达高科	2007/8/3	s
2145	中核钛白	2007/8/3	s
2146	荣盛发展	2007/8/8	s
2147	*ST新光	2007/8/8	s
2148	北纬科技	2007/8/10	s
2149	西部材料	2007/8/10	s
2150	通润装备	2007/8/10	s
2151	北斗星通	2007/8/13	s
2152	广电运通	2007/8/13	s
2153	石基信息	2007/8/13	s
2154	报 喜 鸟	2007/8/16	s
2155	湖南黄金	2007/8/16	s
2156	通富微电	2007/8/16	s
2157	正邦科技	2007/8/17	s
2158	汉钟精机	2007/8/17	s
2159	三特索道	2007/8/17	s
2160	常铝股份	2007/8/21	s
2161	远 望 谷	2007/8/21	s
2162	悦心健康	2007/8/23	s
2163	海南发展	2007/8/23	s
2164	宁波东力	2007/8/23	s
2165	红 宝 丽	2007/9/13	s
2166	莱茵生物	2007/9/13	s
2167	东方锆业	2007/9/13	s
2168	惠程科技	2007/9/19	s
2169	智光电气	2007/9/19	s
2170	芭田股份	2007/9/19	s
2171	楚江新材	2007/9/21	s
2172	澳洋健康	2007/9/21	s
2173	创新医疗	2007/9/25	s
2174	游族网络	2007/9/25	s
2175	*ST东网	2007/10/12	s
2176	江特电机	2007/10/12	s
2177	御银股份	2007/11/1	s
2178	延华智能	2007/11/1	s
2179	中航光电	2007/11/1	s
2180	纳思达	2007/11/13	s
2181	粤 传 媒	2007/11/16	s
2182	云海金属	2007/11/13	s
2183	怡 亚 通	2007/11/13	s
2184	海得控制	2007/11/16	s
2185	华天科技	2007/11/20	s
2186	全 聚 德	2007/11/20	s
2187	广百股份	2007/11/22	s
2188	*ST巴士	2007/11/22	s
2189	中光学	2007/12/3	s
2190	成飞集成	2007/12/3	s
2191	劲嘉股份	2007/12/5	s
2192	融捷股份	2007/12/5	s
2193	如意集团	2007/12/7	s
2194	武汉凡谷	2007/12/7	s
2195	二三四五	2007/12/12	s
2196	方正电机	2007/12/12	s
2197	证通电子	2007/12/18	s
2198	嘉应制药	2007/12/18	s
2199	东晶电子	2007/12/21	s
2200	ST云投	2007/12/21	s
2201	九鼎新材	2007/12/26	s
2202	金风科技	2007/12/26	s
2203	海亮股份	2008/1/16	s
2204	大连重工	2008/1/16	s
2205	国统股份	2008/1/23	s
2206	海 利 得	2008/1/23	s
2207	准油股份	2008/1/28	s
2208	合肥城建	2008/1/28	s
2209	达 意 隆	2008/1/30	s
2210	*ST飞马	2008/1/30	s
2211	宏达新材	2008/2/1	s
2212	天融信	2008/2/1	s
2213	大为股份	2008/2/1	s
2214	大立科技	2008/2/18	s
2215	诺 普 信	2008/2/18	s
2216	三全食品	2008/2/20	s
2217	合力泰	2008/2/20	s
2218	拓日新能	2008/2/28	s
2219	*ST恒康	2008/3/6	s
2221	东华能源	2008/3/6	s
2222	福晶科技	2008/3/19	s
2223	鱼跃医疗	2008/4/18	s
2224	三 力 士	2008/4/25	s
2225	濮耐股份	2008/4/25	s
2226	江南化工	2008/5/6	s
2227	奥 特 迅	2008/5/6	s
2228	合兴包装	2008/5/8	s
2229	鸿博股份	2008/5/8	s
2230	科大讯飞	2008/5/12	s
2231	奥维通信	2008/5/12	s
2232	启明信息	2008/5/9	s
2233	塔牌集团	2008/5/16	s
2234	民和股份	2008/5/16	s
2235	安妮股份	2008/5/16	s
2236	大华股份	2008/5/20	s
2237	恒邦股份	2008/5/20	s
2238	天威视讯	2008/5/26	s
2239	奥特佳	2008/5/22	s
2240	盛新锂能	2008/5/23	s
2241	歌尔股份	2008/5/22	s
2242	九阳股份	2008/5/28	s
2243	力合科创	2008/5/28	s
2244	滨江集团	2008/5/29	s
2245	蔚蓝锂芯	2008/6/5	s
2246	北化股份	2008/6/5	s
2247	*ST聚力	2008/6/12	s
2248	华东数控	2008/6/12	s
2249	大洋电机	2008/6/19	s
2250	联化科技	2008/6/19	s
2251	步 步 高	2008/6/19	s
2252	上海莱士	2008/6/23	s
2253	川大智胜	2008/6/23	s
2254	泰和新材	2008/6/25	s
2255	海陆重工	2008/6/25	s
2256	*ST兆新	2008/6/25	s
2258	利尔化学	2008/7/8	s
2259	*ST升达	2008/7/16	s
2260	*ST德奥	2008/7/16	s
2261	拓维信息	2008/7/23	s
2262	恩华药业	2008/7/23	s
2263	大东南	2008/7/28	s
2264	新 华 都	2008/7/31	s
2265	西仪股份	2008/8/6	s
2266	浙富控股	2008/8/6	s
2267	陕天然气	2008/8/13	s
2268	卫 士 通	2008/8/11	s
2269	美邦服饰	2008/8/28	s
2270	华明装备	2008/9/5	s
2271	东方雨虹	2008/9/10	s
2272	川润股份	2008/9/19	s
2273	水晶光电	2008/9/19	s
2274	华昌化工	2008/9/25	s
2275	桂林三金	2009/7/10	s
2276	万马股份	2009/7/10	s
2277	友阿股份	2009/7/17	s
2278	神开股份	2009/8/11	s
2279	久其软件	2009/8/11	s
2280	联络互动	2009/8/21	s
2281	光迅科技	2009/8/21	s
2282	博深股份	2009/8/21	s
2283	天润工业	2009/8/21	s
2284	亚太股份	2009/8/28	s
2285	世联行	2009/8/28	s
2286	保龄宝	2009/8/28	s
2287	奇正藏药	2009/8/28	s
2288	超华科技	2009/9/3	s
2289	宇顺电子	2009/9/3	s
2290	禾盛新材	2009/9/3	s
2291	星期六	2009/9/3	s
2292	奥飞娱乐	2009/9/10	s
2293	罗莱生活	2009/9/10	s
2294	信立泰	2009/9/10	s
2295	精艺股份	2009/9/29	s
2296	辉煌科技	2009/9/29	s
2297	博云新材	2009/9/29	s
2298	中电兴发	2009/9/29	s
2299	圣农发展	2009/10/21	s
2300	太阳电缆	2009/10/21	s
2301	齐心集团	2009/10/21	s
2302	西部建设	2009/11/3	s
2303	美盈森	2009/11/3	s
2304	洋河股份	2009/11/6	s
2305	南国置业	2009/11/6	s
2306	中科云网	2009/11/11	s
2307	北新路桥	2009/11/11	s
2308	威创股份	2009/11/27	s
2309	中利集团	2009/11/27	s
2310	东方园林	2009/11/27	s
2311	海大集团	2009/11/27	s
2312	川发龙蟒	2009/12/3	s
2313	日海智能	2009/12/3	s
2314	南山控股	2009/12/3	s
2315	焦点科技	2009/12/9	s
2316	亚联发展	2009/12/9	s
2317	众生药业	2009/12/11	s
2318	久立特材	2009/12/11	s
2319	乐通股份	2009/12/11	s
2320	海峡股份	2009/12/16	s
2321	*ST华英	2009/12/16	s
2322	理工环科	2009/12/18	s
2323	*ST雅博	2009/12/18	s
2324	普利特	2009/12/18	s
